Agency/Department,Contract Number,Contract Value,Supplier,Procurement Type,Description,Type of Solicitation,Effective From,Effective To
Public Utilities,15000014256,5000000.00,ITRON INC,Agency Request,Gas and Water automated parts,Commodity,01/31/2011 12:00:00 AM,03/04/2022 12:00:00 AM
Public Works,15000014906,550000.00,Bug Busters Pest Control Svcs Inc,Invitation to Bid,Extermination Maintenance Services/Term 3 of 3,"Non Professional Services, Non Technology",03/05/2015 12:00:00 AM,03/01/2021 12:00:00 AM
Public Works,15000024701,292408.18,Tru-Power Corporation,Invitation to Bid,"5 YEAR MAINTENANCE & SERVICE AGREEMENT/Term 1 of 10, with 5 one-year renewal options/150015111R","Non Professional Services, Non Technology",06/29/2015 12:00:00 AM,06/28/2026 12:00:00 AM
Police Department,16000003460,3399896.25,AXON ENTERPRISE INC,Agency Request,"SS/Service/RPD/Body Worn Camera/Initial Terms 5 years, with one (1) year renewal option/#160002601; MOD#4 $47,952.00 contract amt increase/addl. equip.; annual renewal amt $489,436.00 - Renewal 12/16/2020 - 12/15/2021",Equipment - Non Technology,12/16/2015 12:00:00 AM,12/15/2021 12:00:00 AM
Public Works,16000004637,2000000.00,Cargill Inc -Deicing Technology - INACTIVE,Invitation to Bid,180 Day extension to 3/2/21,"Supplies, Non Technology",09/03/2015 12:00:00 AM,03/02/2021 12:00:00 AM
Public Utilities,16000012397,1400000.00,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,"Modification #5; additional line item added, Goochland Gate Station Manifold ($53,476.00); Steel Fittings/Term 3 of 5/160010711","Supplies, Non Technology",02/01/2016 12:00:00 AM,07/31/2021 12:00:00 AM
Public Utilities,16000013450,7000000.00,ALLAN MYERS VA INC,Invitation to Bid,IFB/Commodity/COR/Asphalt/Term 5 of 5/Primary for Asphalt Delivered/160010108 / Currently in 270 of 365 day extension,Commodity,01/20/2016 12:00:00 AM,10/18/2021 12:00:00 AM
Public Works,16000013808,4003000.00,W & H Resources Inc,Invitation to Bid,IFB Requisition #T160010619 / Services - Non-Professional and Non-Technology / Department of Public Works / Elevator Repairs / Initial Term of three (3) years with seven (7) - one (1) year renewals and a one (1) year extension.,"Non Professional Services, Non Technology",01/29/2016 12:00:00 AM,05/28/2026 12:00:00 AM
Public Utilities,16000014527,5000000.00,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,Steel Pipe/ Term 5 of 5/160010707,"Supplies, Non Technology",02/19/2016 12:00:00 AM,08/18/2021 12:00:00 AM
Public Works,16000016420,6600000.00,MARTIN MARIETTA AGGREGATES,Invitation to Bid,Crushed Stone / Requisition #160015019 / Term 2 of 2/IFB #160015019/,Commodity,03/20/2016 12:00:00 AM,03/21/2022 12:00:00 AM
Public Utilities,16000017271,11357740.68,NUTRI BLEND INC,Invitation to Bid,IFB / Goods and Services / Department of Public Utilities / Dewatering and Disposal of Biosolids / Last 180 Day Extension,"Non Professional Services, Non Technology",03/17/2016 12:00:00 AM,03/13/2022 12:00:00 AM
City Wide,16000020193,161000.00,GONE 4 GOOD SHRED LLC,Invitation to Bid,IFB / Services - Non Professional and Non Technology / Department of Procurement Services / Initial Two (2) year with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",05/09/2016 12:00:00 AM,08/09/2023 12:00:00 AM
Public Works,16000020929,3485521.45,Warwick Plumbing And Heating Corporation,Invitation to Bid,"IFB #H160007918 / Goods & Services / City Wide Contract / Annual Mechanical Contract - Maintenance, Repair and Installation / First 180 day extension of contract",Construction - Term,06/01/2016 12:00:00 AM,11/28/2021 12:00:00 AM
Public Works,16000022041,1050000.00,Manchester Marketing Inc,Request for Proposal,"Towing and Tow Lot Operations/ 5 year term, with 3,one-year renewals / On Renewal 1 of 3","Non Professional Services, Non Technology",06/23/2016 12:00:00 AM,06/22/2024 12:00:00 AM
Public Utilities,16000022833,1000000.00,LIBERTY SALES & DISTRIBUTION,Invitation to Bid,"Corrosion Tape, Paste, and Live Natural Gas Repair Kits/Term 4 of 5/160017160","Supplies, Non Technology",06/09/2016 12:00:00 AM,12/06/2021 12:00:00 AM
Emergency Communication,16000023675,989445.25,Intrado Inc - INACTIVE,Cooperative Agreement,Replaced by 21/6310 Supplier name change COOP/Com/DEC/911 Equipment & emergency Notification Software and Services /5 years/Houston -Galveston Area Council Contract No. EC07-14,"Non Professional Services, Technology",06/17/2016 12:00:00 AM,06/16/2021 12:00:00 AM
Emergency Communication,16000023999,33659597.45,MOTOROLA SOLUTIONS INC,Request for Proposal,Public Safety Land Mobile Radio System/20 years,Equipment - Non Technology,06/30/2016 12:00:00 AM,06/29/2036 12:00:00 AM
Public Utilities,17000002803,1000000.00,AtlasElektro LLC,Invitation to Bid,"Annual Electric Motor Testing, Preventative Maintenance and Repair Services/Term 2 of 3/160021009","Non Professional Services, Non Technology",08/25/2020 12:00:00 AM,08/24/2022 12:00:00 AM
Public Utilities,17000002805,500000.00,Best Repair Company Inc,Invitation to Bid,"Annual Electric Motor Testing, Preventative Maintenance and Repair Services/Term 3 of 3/160021009","Non Professional Services, Non Technology",08/25/2020 12:00:00 AM,08/21/2023 12:00:00 AM
Public Works,17000006912,176650.00,Miller Total Clean LLC,Invitation to Bid,IFB / Services - Non Professional and Non Technology / Department of Public Works / Vehicle and Equipment Wash Service / Initial term of Two (2) years with Three (3) - One (1) year renewals and extension.,"Non Professional Services, Non Technology",10/25/2020 12:00:00 AM,10/31/2022 12:00:00 AM
Public Utilities,17000008695,5000000.00,UNIVAR SOLUTIONS USA INC,Invitation to Bid,Potassium Permanganate Chemical/Term 2of 5/160024021,Commodity,11/29/2016 12:00:00 AM,11/28/2021 12:00:00 AM
Public Utilities,17000008808,5000000.00,UNIVAR SOLUTIONS USA INC,Invitation to Bid,Sodium Hypochlorite/Term 1 of 5/160018794,Commodity,11/30/2016 12:00:00 AM,11/29/2021 12:00:00 AM
Public Utilities,17000012031,1530000.00,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,Steel Gas Gate Valves/Term 2 of 5/H170007071,"Supplies, Non Technology",01/20/2017 12:00:00 AM,01/19/2022 12:00:00 AM
Public Works,17000012075,1000000.00,CLEAN ENERGY FUELS,Cooperative Agreement,*CONTRACT IS EXPIRED as of 30APR23* Cooperative / Commodity / Department of Public Works / Compressed Natural Gas / Cooperative PPEA-SOA2011-07-22-2,"Supplies, Non Technology",08/28/2012 12:00:00 AM,12/13/2024 12:00:00 AM
Public Utilities,17000013046,3000000.00,ELECTRIC POWER SYSTEMS INTERNATIONAL INC,Invitation to Bid,Industrial Power Systems AMC/Term 3 of 3/160020869,Equipment - Non Technology,02/01/2017 12:00:00 AM,01/29/2024 12:00:00 AM
Planning & Development Review,17000013276,40000.00,H & H REAL ESTATE DEVELOPMENT,Invitation to Bid,IFB / Goods and Services / Planning & Development Review / Boarding and Securing of Properties / Initial Two (2) year term with Three (3) - One (1) year renewals,"Non Professional Services, Non Technology",01/31/2017 12:00:00 AM,01/31/2023 12:00:00 AM
Public Utilities,17000013409,1126948.54,ARMORCAST PRODUCTS CO - INACTIVE,Invitation to Bid,IFB / Supplies - Non Technology / Department of Public Works / Water Box Lids / Initial Tem of One (1) year with Four (4) - One (1) year renewals and extension.,"Supplies, Non Technology",02/10/2017 12:00:00 AM,08/09/2022 12:00:00 AM
Public Utilities,17000013557,1493267.93,Core & Main LP,Invitation to Bid,"IFB / Supplies - Non Technology / Department of Public Utilities / Coppersetters, Resetters, BrassFittings / Initial two (2) years with three (3) - One (1) year renewal terms and extension.",Equipment - Non Technology,02/13/2017 12:00:00 AM,02/09/2023 12:00:00 AM
Public Works,17000013563,11155300.00,QUARLES PETROLEUM INC - INACTIVE,Cooperative Agreement,Org. Eff. To 4/21/21- extended to approve and close Fuel and Fuel Cards/Term 5 of 5 / Need to close / Hanover made new contract and ended this one. New contract is 21000011354,"Non Professional Services, Non Technology",03/16/2016 12:00:00 AM,04/29/2021 12:00:00 AM
Public Utilities,17000014945,2000000.00,Hajoca Corporation,Invitation to Bid,IFB / Supplies - Non Technology / Department of Public Utilities / Aluminum Hatches / Initial Term o Two (2) years with One (1) - Two (2) year renewal.,"Supplies, Non Technology",02/27/2017 12:00:00 AM,02/26/2023 12:00:00 AM
Public Works,17000015618,515260.00,Innovative Turf Applications And Consulting,Invitation to Bid,IFB / Services - Non-Professional and Non-Technology / Public Woks / Turf Maintenance Services / Two (2) Year Initial with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",03/31/2017 12:00:00 AM,09/27/2023 12:00:00 AM
Public Utilities,17000015907,56000000.00,J R PIERCE INC,Invitation to Bid,Agreement Closed 10/6/2022: IFB / Construction - Term / Department of Public Utilities / Permanent Restoration of Utility Cuts Annual Contract / Initial term of One (1) year with Four (4) - One (1) year renewals.,Construction - Term,03/31/2017 12:00:00 AM,09/20/2023 12:00:00 AM
Public Works,17000016092,1000000.00,"WESTERN BRANCH DIESEL, INC.",Invitation to Bid,"Expired 21 June, 2023. IFB - Requisition #17000016092 / Supplies - Non-Technology / DPW / OEM Parts and Labor on International, Peterbilt, Kenworth, and Freightliner / Initial Term of Two years with Two - Two year renewal & ext.","Non Professional Services, Non Technology",03/21/2017 12:00:00 AM,08/18/2023 12:00:00 AM
,17000016108,1000000.00,Custom Utility Equipment of Va,,"REPLACED BY AGREEMENT 20000008976 IFB/Service/DPW/OEM Parts and Labor on International, Peterbilt, Kenworth, and Freightliner Trucks/Term 1 of 3/170009576R",,03/21/2017 12:00:00 AM,03/20/2021 12:00:00 AM
Public Utilities,17000017912,1000000.00,DNV GL Noble Denton USA LLC,Request for Proposal,Software DPU,"Non Professional Services, Technology",04/03/2012 12:00:00 AM,04/02/2021 12:00:00 AM
"Library, Richmond Public",17000021105,378542.00,NEW MARKET GROUNDS CORP,Invitation to Bid,IFB #170017601 / Services Non Professional and Non Technology / Richmond Public Libraries / Lawn and Landscape Maintenance Services / Initial Term of One (1) Year Initial with Three (3) - One (1) year renewals and exrtension.,"Non Professional Services, Non Technology",05/31/2017 12:00:00 AM,05/30/2023 12:00:00 AM
Public Utilities,17000022423,1682346.17,Southwood Building Systems Inc,Invitation to Bid,IFB / Construction / Department of Public Utilities / Cofer Road Pumping Station AFD Replacement / Duration of 1650 calendar days.,Construction - Capital/Non-Capital,06/14/2017 12:00:00 AM,12/30/2022 12:00:00 AM
Public Utilities,17000022471,2400000.00,POLYDYNE INC,Invitation to Bid,"IFB #K170004900 / Wastewater Treatment Plant, Agreement #17000022471 /Term 4 of 4",Commodity,06/07/2017 12:00:00 AM,12/04/2022 12:00:00 AM
Police Department,17000022842,1129300.00,WITMER PUBLIC SAFETY GROUP INC,Invitation to Bid,Uniforms & Protective Equipment/Initial Term 1 year with 4 one-year renewal options/170014598,"Supplies, Non Technology",06/27/2020 12:00:00 AM,12/21/2023 12:00:00 AM
Public Works,17000024370,1000000.00,Tatum Inc,Invitation to Bid,"IFB / Goods and Services / Department of Public Works / Tire Installation for Medium Duty, Heavy Duty, Commercial, Fire Apparatus, and Off Road Equipment / No additional terms - Renewal #2 of 2",Commodity,06/19/2017 12:00:00 AM,06/18/2024 12:00:00 AM
Public Utilities,18000000961,1100000.00,Suffolk Solutions Inc - INACTIVE,Invitation to Bid,Sodium Hydroxide/Term 1 of 3/170023881 / New contract is 21000001043,Commodity,07/24/2020 12:00:00 AM,07/23/2021 12:00:00 AM
Public Utilities,18000002943,5700000.00,PD BROOKS TRAFFIC CONTROL,Invitation to Bid,IFB / Supplies - Non Technology / Department of Public Works / Traffic Control Devices / Initial Term of Two (2) years with Two (2) Two (2) year renewals and extension.,Commodity,09/01/2017 12:00:00 AM,09/23/2024 12:00:00 AM
Public Works,18000003177,14609153.04,Allied Universal Security Services,Request for Proposal,"Requisition #210007410; Emergency Extension No. 2 (July 1, 2021 - September 30, 2021); Security Services","Non Professional Services, Non Technology",07/31/2014 12:00:00 AM,09/30/2021 12:00:00 AM
Public Utilities,18000003762,2000000.00,Best Repair Company Inc,Invitation to Bid,"Term 3 of 3/Pump, Gearbox, Blower Repair/ 170010311. 180 Day Extension","Non Professional Services, Non Technology",08/30/2017 12:00:00 AM,02/25/2024 12:00:00 AM
Public Utilities,18000003763,10000000.00,ELECTRIC MOTOR & CONTRACTING CO INC,Invitation to Bid,IFB / Services - Non-Professional and Non-Technology / Department of Public Utilities / Repairs to Various Equipment / Initial term or Two (2) years with Two (2) - Two (2) year renewals and extension,Equipment - Non Technology,09/25/2017 12:00:00 AM,03/22/2024 12:00:00 AM
Public Utilities,18000003765,2000000.00,TENCARVA MACHINERY COMPANY,Invitation to Bid,"Extension 8/20/23 - 2/16/2024; IFB/Service/DPU/Pump, Gearbox, Blower Repair/Term 1 of 4/170010311","Non Professional Services, Non Technology",08/21/2017 12:00:00 AM,02/16/2024 12:00:00 AM
Public Utilities,18000004407,1140349.00,ITRON INC,Invitation to Bid,IFB / Goods and Services / Department of Public Utilities / Gas Regulators and Repair Parts / Initial term of Two (2) years with Three (3) - One (1) year renewals and extension,"Supplies, Non Technology",09/28/2019 12:00:00 AM,04/28/2023 12:00:00 AM
Public Works,18000006033,3000000.00,LAWN BEAUTICIAN,Invitation to Bid,IFB / Services - Non Professional and Non Technology / Department of Public Works / Leaf Removal / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension.,"Non Professional Services, Non Technology",10/01/2017 12:00:00 AM,09/30/2023 12:00:00 AM
Public Works,18000006065,900000.00,Infrastructure Solutions Group,Invitation to Bid,IFB / Goods and Services - Non Technology / Department of Public Works / Parts and Repair Service for Vactors and Sweepers / Initial term of Two (2) years with Three (3) -One (1) year renewals and extension.,Equipment - Non Technology,09/28/2017 12:00:00 AM,03/27/2023 12:00:00 AM
Public Utilities,18000009197,2106914.00,Richland Industries LLC,Invitation to Bid,IFB / Good and Services / Department of Public Utilities / Settling Tank Parts & Repair / Initial Term of Two (2) years with Three (3) - One (1) year renewals and extension.,"Supplies, Non Technology",11/06/2019 12:00:00 AM,05/16/2023 12:00:00 AM
Public Utilities,18000009374,25468550.50,Benchmark VA LLC Subsurface Utl Services,Request for Proposal,RFP / Construction - Non-Capital / Department of Public Utilities / Underground Utility Locating Services/ Initial Term of Two (2) years with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",11/09/2017 12:00:00 AM,05/06/2024 12:00:00 AM
Police Department,18000009555,532500.00,BENNETT FUNERAL HOME,Invitation to Bid,IFB / Services - Non Professional and Non Technology / Police Department / Storage and Transportation of Decedent Bodies / Initial One (1) year with Four (4) - One (1) year renewals and extension.,"Non Professional Services, Non Technology",11/30/2016 12:00:00 AM,11/28/2022 12:00:00 AM
Police Department,18000009559,299100.00,H&S Removal Service LLC,Invitation to Bid,IFB / Services - Non Professional and Non Technology / Police Department / Storage and Transportation of Decedent Bodies / Initial One (1) year with Four (4) - One (1) year renewals and extension. / Currently in First 180 day Extension,"Non Professional Services, Non Technology",11/30/2016 12:00:00 AM,11/30/2022 12:00:00 AM
Public Utilities,18000011526,10500000.00,FORTILINE INC,Invitation to Bid,IFB / Supplies - Non Technology / Department of Pubic Utilities / Ductile & Cast Iron Water Pipe Fittings / Initial Term of Two (2) Years with Two (2) - Two (2) Renewals and Extension,"Supplies, Non Technology",01/08/2018 12:00:00 AM,07/06/2024 12:00:00 AM
Public Utilities,18000013270,28244.43,HACH COMPANY,Agency Request,Repairs/term2 of 3 renewals,"Non Professional Services, Non Technology",06/06/2018 12:00:00 AM,06/05/2021 12:00:00 AM
Public Utilities,18000020627,2000000.00,Alfa Laval Inc. - INACTIVE,Invitation to Bid,IFB / Supplies - Non Technology / Department of Public Utilities / Centrifuge Repair Services & Related Parts / Two (2) year initial with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",04/09/2020 12:00:00 AM,04/08/2024 12:00:00 AM
Public Utilities,18000020824,4000000.00,Franzenburg LLC,Invitation to Bid,IFB / Services - Non Professional and Non Technology / Department of Public Utilities / Initial Term Two (2) years with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",04/18/2020 12:00:00 AM,04/17/2024 12:00:00 AM
Public Works,18000021289,100000.00,ASHBYS BRAKE AND TRUCK REPAIR INC - INACTIVE,Invitation to Bid,IFB - Requisition #18000021289 / Services - Non-Professional and Non-Technology / Department of Public Works/ Service Repairs & Parts for Diverse Fleet of Off-Road Equipment/ In First 90 days of extension.,"Non Professional Services, Non Technology",04/12/2018 12:00:00 AM,07/12/2023 12:00:00 AM
Public Works,18000021292,1300000.00,Lawrence Equipment,Invitation to Bid,Effective end date change to process open invoices; IFB/Serv-Non-Prof and Non-Tech / DPW/Service & Parts for Off-Road Equipment / One (1) year initial with Four (4) - One (1) year renewals an extension. / Temporarily opening to pay invoice,"Non Professional Services, Non Technology",04/12/2020 12:00:00 AM,03/16/2024 12:00:00 AM
Public Works,18000021293,330000.00,Rish Equipment Company - INACTIVE,Invitation to Bid,Service Repairs & Parts for Diverse Fleet of Off-Road Equipment/Term 3 of 5/180017393,"Non Professional Services, Non Technology",04/12/2018 12:00:00 AM,04/11/2022 12:00:00 AM
Public Works,18000022736,2500000.00,TEREX UTILITIES INC,Invitation to Bid,IFB #180019081 / Services - Nn Professional and Non Technology / Department of Public Works / Parts and Shop Services / Initial Term of Two (2) Years with Two (2) - Two (2) Year Renewals and Extension..,Equipment - Non Technology,10/09/2018 12:00:00 AM,01/07/2025 12:00:00 AM
Public Utilities,18000024780,345000.00,BINGHAM AND TAYLOR CORPORATION - INACTIVE,Invitation to Bid,Rates updated 12-15-2021 cps; Gas Curb Boxes/Term 1 of 5/180006967,"Supplies, Non Technology",05/29/2018 12:00:00 AM,05/28/2023 12:00:00 AM
Public Utilities,18000024782,345000.00,C.P. TEST AND VALVE PRODUCTS,Invitation to Bid,Gas Curb Boxes/Term 1 of 5/H180006967,"Supplies, Non Technology",06/01/2018 12:00:00 AM,05/31/2023 12:00:00 AM
Public Works,18000026133,500000.00,"Passport Labs, Inc. - Inactive",Cooperative Agreement,/Mobile Parking App/Term 1 of 1/180018663,"Non Professional Services, Technology",03/01/2018 12:00:00 AM,02/28/2029 12:00:00 AM
Public Utilities,19000001072,6000000.00,MULCARE PIPELINE SOLUTIONS,Invitation to Bid,IFB/Commodity/DPU/Commercial & Residential Gas Meters/Renewal 4 of 4/Contract Modification No. 4 - IFB#180008489,Construction - Term,08/07/2018 12:00:00 AM,04/10/2025 12:00:00 AM
Public Utilities,19000004715,1000000.00,ENERGY Worldnet Inc.,Request for Proposal,"RFP / Services - Non Prof, Non Tech / DPU / Management Training Software / Initial term Two (2) years with Two (2) - Two (2) year renewals and extension. Currently on first 6 month extension","Non Professional Services, Technology",09/28/2018 12:00:00 AM,10/02/2025 12:00:00 AM
Public Works,19000005983,600000.00,YME Corp,Invitation to Bid,IFB / Goods and Services / Department of Planning & Development Review / On-Demand Leaf Vacuuming Service / Initial One (1) year term with Four (4) - One (1) year renewal terms,"Non Professional Services, Non Technology",10/01/2018 12:00:00 AM,09/30/2023 12:00:00 AM
Public Works,19000006259,650000.00,COLONIAL FORD TRUCK SALES,Invitation to Bid,EM Parts and Shop Services for Ford Medium and Heavy Truck Vehicles/Term 2 years - 2 year renewal options /180019081,"Non Professional Services, Non Technology",10/19/2018 12:00:00 AM,01/17/2025 12:00:00 AM
Public Utilities,19000006295,5776000.00,Chemtrade Chemicals US LLC,Invitation to Bid,Sulfate for Aluminum Chemical/term 2of 5,Commodity,10/11/2018 12:00:00 AM,10/10/2022 12:00:00 AM
Sheriff's Office,19000016522,150000.00,CHILES FUNERAL HOME INC.,Invitation to Bid,IFB - Requisition #190010393 / Services - Non-Professional and Non-Technology / Richmond City Sheriff's Office Cremation Services / Two (2) year initial term with Two (2) -One (1) year renewals options and extension.,"Non Professional Services, Non Technology",03/27/2019 12:00:00 AM,03/26/2024 12:00:00 AM
Sheriff's Office,19000016531,150000.00,BENNETT FUNERAL HOME,Invitation to Bid,IFB / Services - Non Professional and Non Technology / Sheriff's Department / Cremation Services / Initial term of Two (2) years with Two (2) - One (1) year renewals and extension.,"Non Professional Services, Non Technology",03/27/2019 12:00:00 AM,03/26/2024 12:00:00 AM
Finance,19000020170,100000.00,Meyercord Revenue Inc,Cooperative Agreement,Tobacco Tax Revenue Stamps,"Supplies, Non Technology",05/16/2019 12:00:00 AM,04/09/2022 12:00:00 AM
Public Utilities,19000021059,5000000.00,UNIVAR SOLUTIONS USA INC,Cooperative Agreement,Utilize Chesterfield County COOP Contract 16-1382/1 yr base w/ 5 one-year renewal options.,Commodity,05/01/2019 12:00:00 AM,05/07/2021 12:00:00 AM
Public Utilities,19000021332,1733566.41,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,IFB #190011333/Non-Insulated Gas Meter Valves/DPU/Two (2) years with Four (4) One (1) year renewal options/ Term 4 of 5,"Supplies, Non Technology",06/06/2019 12:00:00 AM,09/05/2025 12:00:00 AM
Police Department,19000022568,1000000.00,Galls LLC,Cooperative Agreement,Uniforms and Protective Equipment/ Extension,"Supplies, Non Technology",07/01/2019 12:00:00 AM,06/30/2021 12:00:00 AM
Public Utilities,20000002002,19642928.00,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,IFB - Requisition #190021642 / Supplies - Non-Technology / Polyethylene Pipe and Fittings / Initial term Two (2) years with Three (3) - Two (2) year renewals and extension.,Commodity,09/03/2019 12:00:00 AM,09/02/2027 12:00:00 AM
Public Utilities,20000003711,640000.00,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,IFB - Req-220000057/Equip-NonTec/ DPU/ Natural Gas Service Fittings/ 1st Renewal Term of 4 one-year renewal options / IFB#180021132R,Equipment - Non Technology,09/27/2019 12:00:00 AM,09/26/2025 12:00:00 AM
Planning & Development Review,20000003712,2200000.00,ATAB LLC,Request for Proposal,RFP / Services Non Professional Non Technical / Planning & Development Review / Elevator Inspection Services / Initial Two (2) year term with Two (2) - Two (2) year renewals.,"Non Professional Services, Non Technology",09/20/2019 12:00:00 AM,03/16/2026 12:00:00 AM
Public Utilities,20000003724,3500000.00,CINTAS CORP NO 2,Cooperative Agreement,(DPU) UNIFORM RENTAL-PURCHASE WITH OPTIONAL LAUNDRY SERVICES,"Non Professional Services, Non Technology",09/04/2019 12:00:00 AM,10/31/2027 12:00:00 AM
Public Utilities,20000004161,1690582.47,"RMT Construction And Development Group, LLC.",Invitation to Bid,IFB/Construction/DPU/730 Building Interior Renovations,Construction - Term,11/05/2019 12:00:00 AM,08/31/2021 12:00:00 AM
Public Utilities,20000005888,1569712.00,Condy Holdings LLC,Invitation to Bid,IFB / Commodity / Department of Public Utilities / Liquid Zinc Orthophosphate Chemical/ Initial Term Two (2) years with Three (3)-One (1) year renewals,Commodity,10/28/2019 12:00:00 AM,10/27/2023 12:00:00 AM
Public Works,20000006085,5000000.00,THURSTON SPRING SERVICE,Invitation to Bid,IFB / Goods and Services / Department of Public Works / Furnish Repair Service Suspension and Front End Alignments / Initial Term of Two (2) years with Three (3) - One (1) year renewals and extension.,"Non Professional Services, Non Technology",11/01/2019 12:00:00 AM,10/31/2024 12:00:00 AM
Public Works,20000006087,5000000.00,HEADLIGHTS TO TAILPIPES,Invitation to Bid,Furnish Repair Service Suspension and Front End Alignments/Initial Term 2 years with three one-year renewal options/L190023910,"Non Professional Services, Non Technology",11/01/2019 12:00:00 AM,10/31/2024 12:00:00 AM
Public Works,20000006088,5000000.00,Tatum Inc,Invitation to Bid,IFB / Goods and Services / Department of Public Works / Furnish Repair Service Suspension and Front End Alignments / Initial Term Two (2) years with Three (3) - One (1) year renewals and extension,"Non Professional Services, Non Technology",11/01/2019 12:00:00 AM,10/31/2024 12:00:00 AM
Public Utilities,20000006878,127224.30,Ferguson US Holdings Inc,Invitation to Bid,IFB / Commodity / Department of Public Utilities / Gas and Water Type Valve Boxes / Two (2) year initial with with Three (3)- One (1) year renewals.,"Supplies, Non Technology",11/01/2019 12:00:00 AM,10/31/2022 12:00:00 AM
Public Utilities,20000006881,1195792.00,FORTILINE INC,Invitation to Bid,IFB / Supplies - Non-Technology / Department of Public Utilities / Gas & Water Type Valve Boxes / Initial term of Two (2) years with Three (3) - One (1) year renewals and extension,"Supplies, Non Technology",11/01/2019 12:00:00 AM,04/30/2025 12:00:00 AM
City Wide,20000006892,4000000.00,"Enterprise Leasing Co of Norfolk/Richmond, LLC",Invitation to Bid,IFB / Goods and Services - No Professional & Non Technology / City Wide Agreement / Rental Vehicle Services/ Initial Term Two (2) years with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",11/26/2019 12:00:00 AM,05/25/2026 12:00:00 AM
Inspector General,20000008008,82099.84,WingSwept,Cooperative Agreement,Case Mgmt System License/ COOP GS-35F-0218X/req 200009100,"Non Professional Services, Technology",12/10/2019 12:00:00 AM,02/10/2026 12:00:00 AM
Public Works,20000008253,10000000.00,VIRGINIA TRUCK CENTER OF RICHMOND,Invitation to Bid,"IFB / Goods and Services / Department of Public Works / Truck collision repair, body work, & painting / Initial Two (2) years with Three (3) - One (1) year renewals and extension.","Non Professional Services, Non Technology",12/17/2019 12:00:00 AM,12/16/2024 12:00:00 AM
Public Works,20000008976,400000.00,American Fleet Services LLC,Invitation to Bid,"IFB - Requisition #170009576R / Supplies - Non-Technology / Department of Public Works / OEM Parts and Labor on International, Peterbilt, Kenworth, and Freightliner / Initial term of Two (2) years /Two (2) - Twp (2) year renewals & Ext.","Non Professional Services, Non Technology",03/21/2017 12:00:00 AM,06/21/2023 12:00:00 AM
Public Works,20000009863,6272000.00,THE DAVEY TREE EXPERT COMPANY,Invitation to Bid,IFB / Services - Non-Professional & Non-Technology / Department of Public Works / Tree Removal Services / Initial Term of Two (2) years with Three (3) - One (1) year renewals & extension,"Non Professional Services, Non Technology",02/14/2020 12:00:00 AM,02/13/2025 12:00:00 AM
Public Works,20000009871,1050000.00,THE DAVEY TREE EXPERT COMPANY,Invitation to Bid,Renewal #3/MOD#5 IFB / Goods and Services / Department of Public Works / Tree Pruning & Trimming Services / Initial Term One (1) Year with Three (3) - One (1) Year Renewals / Currently in Term 3 of 4,"Non Professional Services, Non Technology",02/14/2020 12:00:00 AM,02/13/2024 12:00:00 AM
Public Works,20000010820,488891.00,CalAmp Wireless Networks Corporation,Invitation to Bid,Wireless Vehicle Tracking System/Requisition #180001820/2 year term,Equipment - Technology,11/13/2017 12:00:00 AM,11/08/2024 12:00:00 AM
Public Utilities,20000011552,17000000.00,MAYER ELECTRIC SUPPLY CO INC,Invitation to Bid,"IFB / Supplies - Non Technology / Department of Public Utilities / Streetlight Poles, Luminaries, Parts and Accessories / Initial term Two (2) years with Three (3) - Two (2) Year renewals and extension.","Supplies, Non Technology",02/26/2020 12:00:00 AM,02/25/2028 12:00:00 AM
Public Works,20000011930,29707140.63,WASTE MANAGEMENT OF VIRGINIA,Agency Request,*Administrative extension to pay old invoices* Contract expired on 30JAN25. Franchise Agreement for Citywide / Refuse Collections. With updated line items,"Non Professional Services, Non Technology",12/01/2019 12:00:00 AM,02/28/2025 12:00:00 AM
Public Utilities,20000012761,1012603.83,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,IFB / Supplies - Non Technology / Department of Public Works / Electro Fusion Fitting / Initial term of Two (2) years with Two (2) - Two (2) - year renewals and extension.,"Supplies, Non Technology",04/20/2022 12:00:00 AM,04/19/2026 12:00:00 AM
Public Utilities,20000012970,3270318.84,FERGUSON ENTERPRISES INC,Invitation to Bid,"IFB / Supplies - Non Technology / Department of Public Utilities / Domestic Plumbing Fittings, Pipes, and Accessories / Two (2) Year initial with Two (2) - Two (2) year renewals and extension. 90-Day Extension.","Supplies, Non Technology",02/26/2020 12:00:00 AM,05/27/2026 12:00:00 AM
